GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Quiz Platform Backend,com.quizplatform.config,AppConfig,3,0,0,0,1,0,1,0,1,0
Quiz Platform Backend,com.quizplatform.config,JwtProperties,0,17,0,0,0,7,0,5,0,5
Quiz Platform Backend,com.quizplatform.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Quiz Platform Backend,com.quizplatform,QuizPlatformApplication,5,3,0,0,2,1,1,1,1,1
Quiz Platform Backend,com.quizplatform.entity,User,245,37,54,0,1,8,35,9,8,9
Quiz Platform Backend,com.quizplatform.entity,Question,165,31,38,0,0,5,23,9,4,9
Quiz Platform Backend,com.quizplatform.entity,Quiz,248,33,54,0,3,5,36,8,9,8
Quiz Platform Backend,com.quizplatform.security,JwtAuthenticationFilter,66,9,10,0,20,4,6,1,1,1
Quiz Platform Backend,com.quizplatform.security,SecurityConfig,83,0,0,0,19,0,9,0,9,0
Quiz Platform Backend,com.quizplatform.security,JwtUtil,0,72,0,0,0,22,0,4,0,4
Quiz Platform Backend,com.quizplatform.service,QuizServiceImpl,12,162,0,4,0,33,1,11,1,9
Quiz Platform Backend,com.quizplatform.service,CustomUserDetailsService,0,37,0,0,0,9,0,3,0,3
Quiz Platform Backend,com.quizplatform.service,QuestionServiceImpl,0,117,0,2,0,26,0,9,0,8
Quiz Platform Backend,com.quizplatform.dto,AuthResponse,7,9,0,0,2,2,2,2,2,2
Quiz Platform Backend,com.quizplatform.dto,QuestionDto,0,46,0,0,0,15,0,10,0,10
Quiz Platform Backend,com.quizplatform.dto,AuthRequest,0,17,0,0,0,5,0,5,0,5
Quiz Platform Backend,com.quizplatform.dto,CreateQuizRequest,0,31,0,0,0,9,0,9,0,9
Quiz Platform Backend,com.quizplatform.dto,RegisterRequest,0,24,0,0,0,7,0,7,0,7
Quiz Platform Backend,com.quizplatform.dto,QuizDto,16,44,0,0,5,15,3,6,3,6
Quiz Platform Backend,com.quizplatform.controller,AuthController,0,125,0,4,0,26,0,6,0,4
Quiz Platform Backend,com.quizplatform.controller,QuestionController,0,39,0,0,0,11,0,5,0,5
Quiz Platform Backend,com.quizplatform.controller,QuizController,0,45,0,0,0,13,0,6,0,6
